,Name,Online_order,Book_table,Rate,Votes,Dish_liked,Approx_cost(for two people)
10089,Frozenheit?,1,No,4.0 out of 5,155,"Choco Death, Brownie",500
10090,FreshMenu,1,No,3.3 out of 5,537,"Sandwich, Salads, Pizza, Sandwiches, Salad, Pasta, Fish",450
10091,Corner House Ice Cream,1,No,4.4 out of 5,405,"Hot Chocolate Fudge, Brownie Fudge Sundae, Brownie Bomb, Apple Pie, Fudge Cake, Apple Cake, Chocolate Mousse",400
10092,WOW! Momo,1,No,3.9 out of 5,284,"Chicken Momo, Chicken Sizzler, Chocolate Momos, Momo Burger, Burgers, Veg Momos, Corn Momo",400
10093,South Ruchis,1,No,3.9 out of 5,358,"Rava Idli, Open Dosa, Masala Dosa, Kesari Bath, Idli Vada",850
10094,Al-Bek,1,No,4.1 out of 5,371,"Biryani, Shawarma, Pepper Chicken, Tandoori Roti, Butter Chicken, Ghee Rice",700
10095,Bhairaveshwara Military Hotel,1,No,4.1 out of 5,141,Biryani,250
10096,Cold Stone Creamery,1,No,4.1 out of 5,143,"Chocolate Devotion, Brownie, Salted Caramel",400
10097,Biriyani Nights,1,No,3.2 out of 5,713,"Chicken Kebab, Gulab Jamun, Chicken Biryani Combo",500
10098,Al Sadique,1,No,3.9 out of 5,185,"Biryani, Pepper Chicken",450
10099,Sindh Kitchen,1,Yes,4.2 out of 5,167,"Dal Pakwan, Rabri, Aloo Tuk, Dal Makhani, Paneer Tikka, Khamiri Roti, Gulab Jamun","1,100"
10100,Gowdru Hotel,1,No,3.9 out of 5,1176,"Biryani, Chicken Fry",250
10101,Kaati Zone,1,No,3.8 out of 5,252,"Rolls, Veggie Roll, Chicken Biryani, Paneer Tikka Roll, Wheat Roll",350
10102,Dhanalakshmi Grand,1,No,4.0 out of 5,73,Masala Dosa,300
10103,Gullu's Chat,1,No,3.6 out of 5,600,"Chaat, Panipuri, Masala Poori, Pav Bhaji, Bhel Puri, Pizza, Dahi Papdi",250
10104,Eat At Nite,1,No,3.3 out of 5,82,"Andhra Chicken Curry, Hyderabadi Chicken Dum Biryani, Fried Rice",400
10105,Food Zone,1,No,3.7 out of 5,162,"Tandoori Chicken, Masala Tikka",400
10106,Andhra Vantakam,1,No,3.9 out of 5,320,"Andhra Meal, Vegetable Biryani",800
10107,Halli Mane,1,No,4.0 out of 5,1195,"Akki Rottis, Roti, Rava Idli, Filter Coffee, Pongal, Masala Dosa, Kokum Juice",250
10108,KFC,1,No,3.8 out of 5,373,"Burgers, Hot Wings, Popcorn Chicken",400
10109,South Idlis,1,No,4.0 out of 5,287,"Vada, Thatte Idli, Kesari Bath",150
10110,Behrouz Biryani,1,No,4.0 out of 5,223,"Gulab Jamun, Vegetable Biryani, Paneer Biryani, Veg Starter, Subz Biryani, Buttermilk",650
10111,Chaatimes,1,No,3.9 out of 5,114,"Dabeli, Masala Poori, Misal Pav, Dahipuri, Papdi Chaat, Panipuri, Pav Bhaji",200
10112,Burger King,1,No,3.9 out of 5,440,"Burgers, French Fries, Crispy Veg Burger, Chicken Fries, Chicken Crisp Burger",600
10113,Shuchi Ruchi,1,No,4.0 out of 5,343,"Aloo Palya, Masala Poori, Panipuri, Rolls, Chaat, Benne Dosa, Dahipuri",350
10114,Pizza Hut,1,No,3.6 out of 5,492,"Pasta, Potato Wedges, Garlic Bread, Veg Supreme Pizza, Chicken Wings",750
10115,Richie Rich,1,No,4.0 out of 5,630,"Tawa Pulav, Faluda, Pav Bhaji, Ice Cream Sundae, Brownie, Hot Chocolate Fudge, Fruit Salad",450
10116,Hotel Kadamba Veg,1,No,3.8 out of 5,335,"Bisi Bele Bhaath, Sweet Pongal, Curd Rice, Masala Papad, Vada, Filter Coffee, Babycorn Manchurian",450
10117,Faasos,1,No,3.9 out of 5,184,"Rolls, Chicken Wrap, Chicken Roll, Veggie Wrap, Chocolate Fantasy, Paneer Wrap",500
10118,Le Arabia,1,Yes,4.4 out of 5,1026,"Sea Food, Ghee Rice, Hyderabadi Mutton Biryani, Chicken Biryani, Shawarma, Chicken Grill, Crispy Chicken",800
10119,Karavali Lunch Home,1,No,4.0 out of 5,173,"Neer Dosa, Fish Curry, Chicken Sukha, Rawas Fry, Thali, Fish Rava Fry",300
10120,Navab's,1,No,4.0 out of 5,31,"Biryani, Butter Naan, Tikka, Kadhai Paneer",600
10121,Nisarga,1,No,3.6 out of 5,110,Biryani,500
10122,Big Bite,1,No,4.0 out of 5,555,"Chaat, Pizza, Gol Gappe, Lassi, Rolls, Vada Pav, Dabeli",400
10123,The Purple Pan,1,No,4.1 out of 5,502,"Kalmi Kebab, Vegetable Biryani, Chilli Chicken, Dum Biryani, Chicken Biryani, Honey Chilli Potatoes, Chicken Tikka",600
10124,Firangi Bake,1,No,3.8 out of 5,53,"Chicken Quesadilla, Lasagne",600
10125,Chili's American Grill & Bar,1,Yes,4.8 out of 5,6461,"Veg Platter, Burgers, Mushroom Soup, Cocktails, Nachos, Lemon Margarita, Chicken Fajita","1,400"
10126,Punjab Grill,1,Yes,4.9 out of 5,1973,"Chicken Malai Tikka, Jalebi Rabri, Lunch Buffet, Paneer Tikka, Kulfi, Jumbo Prawns, Murgh Malai","2,000"
10127,Nando's,1,No,4.1 out of 5,316,"Burgers, Peri Peri Chips, Beer, Mocktails, Peri Peri Chicken, Potato Wedges, Butterfly Chicken","1,200"
10128,Kabab Palace,1,No,3.8 out of 5,74,"French Chicken, Roti, Biryani",350
10129,Sweet Truth,1,No,4.0 out of 5,39,"Cheesecake, Chocolate Fantasy, Chocolate Decadence",500
10130,Hotel New Panchavati,1,No,3.6 out of 5,121,"Murgh Ghee Roast, Chicken Biryani",600
10131,Chichaba's Taj,1,No,4.1 out of 5,244,"Biryani, Butter Chicken, Phirni, Paya Soup, Bheja Fry, Panneer Butter Masala, Butter Naan",600
10132,Stories,1,Yes,4.6 out of 5,2396,"Butter Chicken, Mocktails, Pizza, Virgin Mojito, Nachos, Cocktails, Egg Chilli","1,100"
10133,New Shanthi Sagar,1,No,3.5 out of 5,101,"Coffee, Kadhai Paneer",400
10134,Krispy Kreme,1,No,4.1 out of 5,197,"Donut, Cappuccino, Coffee, Custard, Hot Chocolate, Chocolate Dreamcake, Cookie Crunch",300
10135,Chawla's 2 Online.com,1,No,3.9 out of 5,41,"Tandoori Chicken, Butter Chicken, Shahi Paneer",800
10136,The Asian Curry House,1,No,4.5 out of 5,787,"Sushi, Noodles, Khao Suey, Momos, Vegetarian, Thukpa Soup, Thai Green Curry","1,000"
10137,Punjab Mail,1,No,3.8 out of 5,324,"Biryani, Sweet Lassi, Thali, Butter Kulcha, Palak Paneer, Cheese Naan, Kulfi",650
10138,Chowmein,1,No,3.8 out of 5,285,"Noodles, Chilli Chicken, Biryani, American Chopsuey, Chinese Bhel, Chowmein, Prawn",800
10139,Chung Wah,1,No,3.9 out of 5,135,"Manchow Soup, Dragon Rolls, Spring Roll, Sweet Corn Soup, Prawn, Babycorn Manchurian",700
10140,McDonald's,1,No,2.9 out of 5,136,Chaat,500
10141,Aubree,1,No,4.3 out of 5,723,"Cup Cake, Peri Peri Paneer Pizza, Coffee, Waffles, Hot Chocolate, Chocolate Hazelnut, Rainbow Cake",400
10142,Bombay Vada Pav Corner,1,No,4.1 out of 5,84,"Vada Pav, Dabeli, Pav Bhaji, Samosa Pav",150
10143,Rolling Waffles,1,No,3.8 out of 5,35,"Waffles, Nutella Waffle",250
10144,Antarastriya,1,No,3.9 out of 5,462,"Pasta, Momos, Noodles, Manchurian, Peri Peri Fries, Chinese Bhel, Tacos",200
10145,Cafe Udupi Ruchi,1,No,4.0 out of 5,140,"Badam Halwa, Butter Masala Dosa, Filter Coffee, Neer Dosa, Pasta, Tea, Biryani",350
10146,Mama Mia!,1,No,4.0 out of 5,112,"Hot Chocolate, Fries, Gelato, Brownie, Strawberry Shake, Vanilla Ice Cream, Thick Shakes",400
10147,Pulimunchi,1,Yes,4.1 out of 5,533,"Neer Dosa, Egg Ghee Roast, Sea Food, Tender Coconut Souffle, Murgh Ghee Roast, Fish, Appam","1,000"
10148,The Higher Taste Stores,1,No,3.8 out of 5,121,"Paratha, Sandwiches, Sweet Lassi, Sandwich, Eggless Cake, Gulab Jamun, Bread Pakora",300
10149,Mad Over Donuts,1,No,3.9 out of 5,131,"Donut, Coffee, Choco Bomb, Cup Cake",450
10150,3G's - Gulp & Groove,1,Yes,4.1 out of 5,664,"Peri Peri Chicken, Beer, Pasta, Nachos, Cocktails, Pizza, Dragon Prawn","1,100"
10151,Stoned Monkey,1,No,4.1 out of 5,179,"Nachos, Cheesy Garlic Bread, Ferrero Rocher",500
10152,Vande Matharam,1,No,2.3 out of 5,180,"Coffee, Dal Makhani",500
10153,Waffle Stories,1,No,3.9 out of 5,360,"Brownie Sundae, Nutella Waffle, Brownie Waffle, Choco Blast Waffles, Eggless Waffle, Chocolate Waffles, Crunchy Waffles",300
10154,South Spicy Bites,1,No,3.7 out of 5,68,"Fish, Tandoori Chicken, Neer Dosa, Sea Food",500
10155,Roll Over,1,No,3.8 out of 5,75,"Fries, Ice Cream Roll, Coffee, Brownie",350
10156,Cave N Dine,1,Yes,3.1 out of 5,405,"Cocktails, Paneer Tikka, Jeera Rice, Egg Pakora, Sea Food, Roti, Vegetable Biryani",800
10157,Sea Route,1,Yes,4.1 out of 5,428,"Sea Food, Fish, Roti, Prawn Ghee Roast, Neer Dosa, Murgh Ghee Roast, Paneer Tikka","1,100"
10158,Aramane Restaurant,0,No,3.0 out of 5,75,"Vada, Sweet Corn Soup",300
10159,Swasthi Spice Restaurant,1,No,3.4 out of 5,590,"Hyderabadi Dum Biryani, Vegetable Biryani",600
10160,Mint Masala,1,No,3.8 out of 5,572,"Salads, Salad, Veg Platter, Lunch Buffet, Kadai Paneer, Mint Masala, Veg Buffet",800
10161,1522 - The Pub,1,No,4.2 out of 5,1734,"Beer, Dragon Chicken, Mojito, Cocktails, Murgh Platter, Mocktails, Sea Food","1,400"
10162,Malleshwaram Dosa Corner,1,No,4.4 out of 5,109,"Benne Masala Dosa, Aloo Palya",120
10163,Aromas Of South,0,No,3.7 out of 5,46,"Appam, Coffee","1,000"
10164,La Heaven,1,No,3.9 out of 5,88,"Cup Cake, Waffles",400
10165,Savji's Roll 'N' Biryani,1,No,3.9 out of 5,441,"Rolls, Chicken Roll, Chicken Biryani, Chicken Lollipop",250
10166,A2B Veg - Adyar Ananda Bhavan,1,No,2.9 out of 5,96,"Pongal, Vada, Curd Rice",400
10167,TLP Cafe,1,No,3.9 out of 5,252,"Coffee, Sandwich, Mudpie, Sandwiches, Rainbow Cake, White Sauce Pasta, Rainbow Pastry",400
10168,Veena Stores,1,No,4.5 out of 5,2416,"Kesari Bath, Idli Vada, Sweet Pongal, Filter Coffee, Idli Chatni, Idli Chutney, Upma",150
10169,By 2 Coffee,1,No,4.3 out of 5,310,"Filter Coffee, Kharabath, Tea, Idli Vada, Khara Bhath, Kesari Bath, Crispy Vada",100
10170,Nandhana Palace,0,No,4.0 out of 5,930,"Bamboo Chicken, Fish Curry, Chicken Guntur, Chicken Fry, Mutton Biryani, Mutton Chops, Chicken Kshatriya",800
10171,Mayura 1989,0,No,3.7 out of 5,103,"Biryani, Murgh Ghee Roast, Cocktails",900
10172,CTR,1,No,4.8 out of 5,4421,"Benne Masala Dosa, Filter Coffee, Chai, Butter Masala Dosa, Crispy Vada, Tea, Kesari Bath",150
10173,1947,0,Yes,3.9 out of 5,620,"Manchurian, Vegetarian, Sweet Corn Soup, Paneer Tikka, Noodles, Rabri, Veg Fried Rice","1,000"
10174,Biryani Day,1,No,3.8 out of 5,216,"Donne Biryani, Chicken Kebab, Chicken Lollipop, Mutton Biryani, Chicken Biryani Combo",400
10175,New Prashanth Hotel,1,No,3.2 out of 5,123,"Biryani, Ragi Mudde, Lemon Chicken, Mutton Chops",750
10176,Break Hour,1,No,4.0 out of 5,97,"Burgers, Nachos, Mocktails, Schezwan Momos, Paneer Manchurian, Paneer Noodles, Patiala Paneer",150
10177,Quickie's,1,No,3.9 out of 5,87,"Maggi, Sandwiches, Rolls",200
10178,Surya Refreshments,1,No,3.9 out of 5,41,"Vada, Idli, Coffee, Kesari Bath",150
10179,Karnataka Bhel House,0,No,4.1 out of 5,453,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",100
10180,Papanna's Biriyani,0,No,3.9 out of 5,175,"Lemon Chicken, Chicken Biryani",350
10181,MouthFull Of Cake,0,No,3.9 out of 5,57,"Cup Cake, Cake Pops, Chocolate Truffle",600
10182,Stevie's,1,No,4.1 out of 5,80,"Pasta, Chicken Steak, Pink Lemonade, Pizza, Nachos, Wings, Burgers",500
10183,Natural Ice Cream,0,No,4.3 out of 5,190,"Coconut Ice Cream, Custard Apple, Choco Almond",200
10184,Park View Restaurant,0,No,3.8 out of 5,128,"Sea Food, Biryani, Chilli Chicken, Neer Dosa, Curd Rice",600
10185,Chopstick World,0,No,4.0 out of 5,178,"Noodles, Cucumber Salad, Dragon Chicken, Momos, Spring Roll, Sea Food, Chicken Momo",750
10186,Bansuri Sweets,0,No,3.5 out of 5,49,"Chaat, Pav Bhaji, Masala Poori, Vada Pav",250
10187,Sbarro,0,No,2.8 out of 5,270,"Garlic Bread, Chicken Keema Pizza, Bbq Chicken, White Sauce Pasta, Veg Supreme, Paneer Pizza, Capsicum Pizza",500
10188,Mojo Pizza - 2X Toppings,1,No,4.2 out of 5,290,"Garlic Bread, Chicken Wings, House Pizza",600
10189,O.G. Variar & Sons,0,No,4.8 out of 5,1161,"Veg Puff, Plum Cake, Sponge Cake, Tea, Coconut Biscuits, Fruit Cake, Apple Cake",200
10190,Onesta,1,Yes,4.3 out of 5,397,"Pasta, Chocolate Pizza, Cheesecake, Tikka",600
10191,Natural Ice Cream,0,No,4.2 out of 5,148,"Chocolate Icecreams, Waffle Cone",200
10192,Pavitra Paradise,0,No,3.8 out of 5,46,Pizza,200
10193,Corner House Ice Cream,1,No,4.4 out of 5,406,"Hot Chocolate Fudge, Brownie Fudge Sundae, Brownie Bomb, Apple Pie, Fudge Cake, Apple Cake, Chocolate Mousse",400
10194,Smoor,1,No,4.2 out of 5,290,"Chocolate Sundae, Cup Cake, Coffee, Cheesecake, Macaroon, Sandwich, Hot Chocolate",700
10195,Frozen Coast,0,No,3.9 out of 5,108,"Cheese Balls, French Fries, Sandwich, Oreo Ice Cream",250
10196,Bun World,0,No,3.9 out of 5,133,"Sandwiches, Burgers, Hot Dog, Sandwich, Honey Cake, Pizza, Veg Cheese Burger",250
10197,Jetlag,0,Yes,4.3 out of 5,1103,"Cocktails, Pasta, Pizza, Vegetable Biryani, Nachos, Chicken Achari Tikka, Mocktails","1,650"
10198,Stories,1,Yes,4.6 out of 5,2423,"Butter Chicken, Mocktails, Pizza, Virgin Mojito, Nachos, Cocktails, Egg Chilli","1,100"
10199,Barbeque Nation,0,Yes,4.5 out of 5,1284,"Vegetarian, Prawn, Mocktails, Fish, Paan Kulfi, Brownie, Chicken Biryani","1,600"
10200,Hotel Nalapaka,0,No,4.3 out of 5,690,"Jowar Roti, Benne Dosa, Idli, Brinjal Curry, Akki Rottis, Jolada Rotti, Buttermilk",400
10201,Sagar Hotel,0,No,4.3 out of 5,818,"Vada Pav, Dabeli, Pav Bhaji, Chaat, Masala Papad, Jalebi, Sev Puri",600
10202,The Higher Taste,0,Yes,4.3 out of 5,858,"Aloo Gobhi, Mocktails, Veg Buffet, Dahi Vada, Salads, Chaat, Buttermilk",800
10203,Al-Bek,1,No,4.1 out of 5,568,"Chicken Roll, Mutton Biryani, Egg Roll, Ghee Rice, Shawarma, Tandoori Chicken, Chicken Grill",700
10204,Empire Restaurant,1,No,4.0 out of 5,633,"Brain Fry, Butter Chicken, Chicken Kebab, Chicken Wings, Lunch Buffet, Mutton Biryani, Chicken Grill",750
10205,Jalpaan,1,Yes,3.9 out of 5,676,"Mocktails, Corn Cigars, Seekh Kebab, Potli Biryani, Pizza, Thali, Rumali Roti",900
10206,Asha Food Camp,0,Yes,4.0 out of 5,137,"Panneer Butter Masala, Dal Fry, Butter Kulcha, Shahi Paneer, Paneer Tikka, Roti, Vegetable Biryani",700
10207,Chord Road Resto-Bar,0,No,3.2 out of 5,97,Tandoori Fish,"1,000"
10208,White Smoke Barbeque- Fairfield by Marriott,0,No,4.0 out of 5,84,"Lamb Chops, Strawberry Daiquiri, Truffle, Bbq, Chicken Kebab, Nachos, Karara Paneer","1,200"
10209,Hotel Aditya,0,No,4.3 out of 5,332,"Chicken Biryani, Chicken Masala, Brain Fry, Chilli Chicken, Mutton Biryani, Nalli Fry, Chicken Fry",300
10210,Domino's Pizza,1,No,3.9 out of 5,392,Pizza,400
10211,Burger King,1,No,3.9 out of 5,266,"Burgers, Cheesy Fries",600
10212,Pizza Hut,1,No,3.5 out of 5,108,"Garlic Bread, Pasta",750
10213,Chichaba's Taj,1,No,4.1 out of 5,245,"Biryani, Butter Chicken, Phirni, Paya Soup, Bheja Fry, Panneer Butter Masala, Butter Naan",600
10214,Donne Biriyani Mane,0,No,3.8 out of 5,180,"Donne Biryani, Chicken Biryani, Chilli Chicken",300
10215,Sloshed,0,Yes,3.9 out of 5,96,"Beer, Pasta","1,200"
10216,Priyadarshini Grand,0,No,4.0 out of 5,407,"Masala Dosa, Bonda Soup, Rava Dosa, Tomato Soup, Bhel Puri, Coffee, Roti",400
10217,Tango,0,No,3.8 out of 5,51,"Sandwiches, Cheese Sandwich",200
10218,High Ultra Lounge,0,Yes,4.1 out of 5,4781,"Cocktails, Salmon Sushi, Jumbo Prawns, Chocolate Cake, Mocktails, Pad Thai Noodle, Sushi Platter","2,600"
10219,Punjab Grill,1,Yes,4.9 out of 5,1985,"Chicken Malai Tikka, Jalebi Rabri, Lunch Buffet, Paneer Tikka, Kulfi, Jumbo Prawns, Murgh Malai","2,000"
10220,District 6 Pub Brewery & Kitchen,0,No,4.3 out of 5,2324,"Mushroom Tikka, Nachos, Wheat Beer, Dahi Kebab, Cocktails, Tiramisu, Chicken Tikka","1,800"
10221,Feast - Sheraton Grand Bangalore Hotel at Brigade...,0,Yes,4.3 out of 5,968,"Chocolate Cake, Sunday Brunch, Mutton Biryani, Pasta, Pizza, Croissants, Cocktails","2,000"
10222,"Lush - Renaissance Hotel, Bengaluru",0,Yes,4.5 out of 5,420,"Chicken Tikka, Paneer Tikka, Brownie, Biryani, Mocktails, Tea, Dal Makhani","1,200"
10223,Barbecue by Punjab Grill,0,Yes,4.8 out of 5,1367,"Prawn, Panipuri, Chaat, Biryani, Paan Ice Cream, Brownie, Tandoori Prawns","1,300"
10224,The Persian Terrace - Sheraton Grand Bangalore Hotel...,0,Yes,4.2 out of 5,566,"Appam, Tiramisu, Cocktails, Mocktails, Kebab Platter, Salads, Lamb","2,500"
10225,Chili's American Grill & Bar,1,Yes,4.8 out of 5,6470,"Veg Platter, Burgers, Mushroom Soup, Cocktails, Nachos, Lemon Margarita, Chicken Fajita","1,400"
10226,The Asian Curry House,1,No,4.5 out of 5,789,"Sushi, Noodles, Khao Suey, Momos, Vegetarian, Thukpa Soup, Thai Green Curry","1,000"
10227,Toscano,1,Yes,4.3 out of 5,1103,"Pizza, Pasta, Wine, Cocktails, Mocktails, Mojito, Tiramisu","1,500"
10228,Hyderabad Biryani House,0,No,4.1 out of 5,218,"Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani",800
10229,The Studio Bar,0,No,4.0 out of 5,777,"Beer, Cocktails, Pork Chilli, Pandi Curry, Steak, Crispy Chicken, Pasta","1,400"
10230,Hatch,1,Yes,4.2 out of 5,471,"Cocktails, Appam, Beer, Murgh Ghee Roast, Mocktails, Pizza, Cheese Balls","1,200"
10231,Nando's,1,No,4.1 out of 5,317,"Burgers, Peri Peri Chips, Beer, Mocktails, Peri Peri Chicken, Potato Wedges, Butterfly Chicken","1,200"
10232,Indian Kitchen,0,No,4.2 out of 5,493,"Cocktails, Biryani, Paneer Makhani, Sangria, Tandoori Chicken, Veg Pulao, Tomato Shorba","1,500"
10233,The Beer Cafe,0,No,4.1 out of 5,742,"Beer, Cocktails, Garden Pizza, Chicken Tikka, Spring Roll, Chips, Chicken Wings","1,500"
10234,BluO,0,Yes,4.1 out of 5,405,"Mocktails, Cocktails, Beer, Nachos, Fries","1,500"
10235,Halli Mane,1,No,4.0 out of 5,1196,"Akki Rottis, Roti, Rava Idli, Filter Coffee, Pongal, Masala Dosa, Kokum Juice",250
10236,Mumbai Bistro,1,No,4.2 out of 5,506,"Pav Bhaji, Tawa Pulav, Vada Pav, Chaat, Rolls, Dabeli, Sandwiches",500
10237,Holige Mane,1,No,4.2 out of 5,128,"Badami Holige, Puran Poli",100
10238,Hotel Moonlight,0,No,3.9 out of 5,117,"Chicken Grill, Biryani, Ghee Rice, Paratha",500
10239,RS Shiv Sagar,0,No,4.2 out of 5,613,"Panneer Butter Masala, Brownie Chocolate, Dhokla, Pav Bhaji, Mushroom Manchurian, Enchiladas, Kachori",500
10240,Mavalli Tiffin Room (MTR),0,No,4.3 out of 5,356,"Masala Dosa, Pongal, Bisi Bele Bhaath, Curd Vadai, Rava Idli, Filter Coffee, Idli Vada",300
10241,Bene - Sheraton Grand Bangalore Hotel at Brigade...,0,Yes,4.2 out of 5,246,"Pasta, Pizza, Tiramisu, Salads, Lamb, Wine, Mud Crab Ravioli","2,500"
10242,Bhairaveshwara Military Hotel,1,No,4.2 out of 5,144,Biryani,250
10243,Cafe Noir,0,No,4.1 out of 5,1189,"Pasta, Pizza, Salad, Burgers, Fries, Waffles, Sandwiches","1,500"
10244,Sanman,0,No,4.0 out of 5,151,"Rava Dosa, Filter Coffee, Masala Dosa, Pongal, Rava Idli, Vada",700
10245,Shuchi Ruchi,1,No,4.0 out of 5,344,"Aloo Palya, Masala Poori, Panipuri, Rolls, Chaat, Benne Dosa, Dahipuri",350
10246,Hotel Janatha,0,No,4.1 out of 5,750,"Masala Dosa, Filter Coffee, Tea, Onion Dosa, Vada Sambar, Badam Milk, Badam Halwa",150
10247,Chikkanna Tiffin Room,1,No,4.3 out of 5,85,"Masala Dosa, Coffee, Khali Dosa, Idli, Kali Dosa",200
10248,Sri Sai Ram's,0,No,4.2 out of 5,62,"Chaat, Chips, Dahipuri, Masala Poori",200
10249,Sagar,0,No,3.6 out of 5,101,"Masala Dosa, Roti, Vada",500
10250,Chaatimes,1,No,3.9 out of 5,115,"Dabeli, Masala Poori, Misal Pav, Dahipuri, Papdi Chaat, Panipuri, Pav Bhaji",200
10251,Upsouth,1,No,4.2 out of 5,470,"Filter Coffee, Elaneer Mousse, Tea, Poori Bhaji, Vada, Buttermilk, Mini Idlis",300
10252,Polar Bear,1,No,4.1 out of 5,166,"Sandwiches, Brownie Fudge, Hot Chocolate Fudge, Cheese Sandwich, Coffee, Grilled Sandwich",400
10253,Empire Juice Shop,0,No,2.7 out of 5,43,Mosambi Juice,150
10254,Swathi Greenland,1,No,3.7 out of 5,174,"Beer, Chilli Chicken, Naan, Chicken Biryani, Tandoori Chicken, Chicken Guntur, Neer Dosa",800
10255,Konark Vegetarian Restaurant,0,No,4.1 out of 5,1015,"Hyderabadi Biryani, Masala Poori, Kulcha, Butter Masala Dosa, Chaat, Filter Coffee, Kesari Bath",500
10256,Olive Bar And Kitchen,0,Yes,4.5 out of 5,2219,"Salads, Cocktails, Hazelnut Cake, Pepperoni Pizza, Mocktails, Calamari, Risotto","1,800"
10257,JW Kitchen - JW Marriott Bengaluru,0,Yes,4.4 out of 5,2143,"Pasta, Breakfast Buffet, Lasagne, Salads, Chocolate Cake, Chicken Soup, Seafood Salad","2,200"
10258,The Tao Terraces,1,Yes,3.9 out of 5,1943,"Salads, Cocktails, Khao Suey, Laksa, Jumbo Prawns, Veg Sushi, Espresso Martini","2,100"
10259,Oh! Calcutta,1,Yes,4.5 out of 5,1142,"Fish, Curry Crab, Mocktails, Luchi, Kosha Mangsho, Sea Food, Daab Chingri","1,200"
10260,Mainland China,1,Yes,4.5 out of 5,1431,"Hunan Tofu, Noodles, Jumbo Prawns, Jasmine Tea, Chicken Momo, Cocktails, Momos","1,700"
10261,Empire Restaurant,1,No,4.0 out of 5,3286,"Paneer Tikka, Bheja Fry, Ghee Rice, Jumbo Shawarma, Brain Fry, Raita, Biryani",750
10262,BBQ@52,0,Yes,3.9 out of 5,54,Pasta,"1,500"
10263,The Spice Bazaar,0,Yes,4.2 out of 5,341,"Brownie, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mutton Soup, Lunch Buffet","1,000"
10264,BBQ'D - Global Grill & Brewery,0,No,4.3 out of 5,469,"Chicken Kebab, Butter Chicken, Papdi Chaat, Pizza, Dahipuri, Cocktails, Rice Kheer","1,500"
10265,Season - Adarsh Hamilton,0,Yes,4.3 out of 5,331,"Fish, Pepper Corn, Salads, Mutton Biryani, Lunch Buffet, Apple Pie, Dahi Vada","1,200"
10266,Cafe Mangii,1,Yes,4.3 out of 5,1055,"Pizza, Pasta, Mocktails, Tiramisu, Mousse, Sangria, Minestrone Soup","1,600"
10267,The Oriental Spice - Ashraya Hotel,1,No,3.8 out of 5,159,"Noodles, Chicken Salad, Lunch Buffet, Fish, Sour Soup, Manchurian, Salads","1,300"
10268,Cafe Treat - The Pride Hotel,1,No,4.1 out of 5,119,"Cosmopolitan, Salads, Chaat, Coffee, Biryani, Dal Makhani, Butter Chicken","1,000"
10269,Woody's,0,No,2.3 out of 5,118,"Coffee, Idli, Vada, Thali",650
10270,Caraway Kitchen - Conrad Bengaluru,0,Yes,4.3 out of 5,166,"Pasta, Pizza, Appam, Pancakes, Chaat, Fish, Masoor Dal","2,800"
10271,Barbeque Nation,0,Yes,4.4 out of 5,1086,"Mutton Seekh, Paan Kulfi, Biryani, Fish, Crispy Corn, Salads, Panipuri","1,600"
10272,Skylit - Citrus Hotels,0,Yes,4.1 out of 5,329,"Gulab Jamun, Sea Food, Bruschettas, Paneer Tikka, Gajar Halwa, Shahi Tukda, Biryani","1,300"
10273,Tiger Trail - Ramada Hotel,1,Yes,4.0 out of 5,189,"Custard, Paratha, Poha, Breakfast Buffet, Thali, Dal Makhani, Malai Kulfi","1,300"
10274,BLOW,1,Yes,4.3 out of 5,972,"Mocktails, Pasta, Burgers, Sandwich, Salsa, Salad, Hazelnut Frappe",750
10275,Cafe Azzure,1,Yes,4.2 out of 5,2747,"Pasta, Wedges, Pizza, Nachos, Mocktails, Burgers, Thick Shakes","1,200"
10276,Green Theory,1,Yes,4.2 out of 5,2859,"Potato Skins, Pizza, Mushroom Soup, Pasta, Banana Smoothie, Almond Soup, Kiwi Lemonade",800
10277,Driven Cafe,1,No,3.6 out of 5,123,"Coffee, Fries, Cappuccino, Margherita Pizza",600
10278,Brik Oven,0,No,4.6 out of 5,2295,"Garlic Bread, Waffles, Brownie Shake, Cookie Monster Shake, Wood Fire Pizza, Big Bang Shake, Mushroom Pizza","1,100"
10279,Truffles,0,No,4.5 out of 5,3599,"Burgers, Pasta, Cheese Burger, Mocktails, Ferrero Rocher Milkshake, Peri Chicken, Chicken Paprika",900
10280,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,1,Yes,4.4 out of 5,726,"Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad","1,700"
10281,The White Room - Coffee & Kitchen,0,Yes,4.1 out of 5,1750,"Mushroom Quiche, Chicken Quiche, Coffee, Caramel Frappe, Espresso, Chocolate Milkshake, Tea","1,000"
10282,Glen's Bakehouse,1,No,4.4 out of 5,1115,"Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie",600
